year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,49,봄날,방탄소년단,YOU NEVER WALK ALONE,509785
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,50,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡,65602
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,51,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),261046
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,52,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,397029
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,53,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,206777
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,54,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,106592
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,55,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438240
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,56,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320118
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,57,Life Goes On,방탄소년단,BE,245658
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,58,METEOR,창모 (CHANGMO),Boyhood,312715
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,59,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,42391
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,60,고백,10CM,두 번째 '고백',70336
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,61,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",134401
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,62,라라라,SG 워너비,My Friend,100974
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,63,오래된 노래,스탠딩 에그,오래된 노래,291350
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,64,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,148323
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,65,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6,54557
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,66,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,156309
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,67,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),166872
